Subject Description,Catalog Number,Class Number,Class Title,Class Section Number,Course Component Description,Academic Term Description,Class Academic Group Description,Meeting Start Time,Meeting End Time,Days,Building Code,Room,Enrollment Total
Civil & Environmental Engineer,1503,13396,INTRO TO ENVIRONMENTAL ENGRNG,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,12:15 PM,M W               ,BENDM,00G37,43
Civil & Environmental Engineer,1513,13451,ENVIRONMENTAL ENGRNG PROCESSES,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:15 AM,Tu Th             ,BENDM,00G30,75
Civil & Environmental Engineer,1520,29594,MATRL & ENGRY BALNC ENV ENGR,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,12:15 PM,M W               ,BENDM,00G24,5
Civil & Environmental Engineer,1523,29595,ENVIRONMENTAL ENGINEERING LAB,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,01:50 PM,M                 ,BENDM,01045,9
Civil & Environmental Engineer,1533,13208,ENVRL ENGR DESIGN PROJECT,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,01:50 PM,Tu Th             ,BENDM,00319,7
Civil & Environmental Engineer,1533,13209,ENVRL ENGR DESIGN PROJECT,1040,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,03:50 PM,Tu Th             ,BENDM,00319,7
Civil & Environmental Engineer,1610,29596,ENGR SUSTAINABLE DEVELOPMENT,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,02:50 PM,F                 ,BENDM,00319,50
Civil & Environmental Engineer,1703,26330,TRANSPORTATION ENGINEERING,1100,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,02:15 PM,M W               ,BENDM,00319,46
Civil & Environmental Engineer,1715,26271,PAVEMENT MAINTENANCE AND REHAB,1090,Lecture,Spring Term 2016-2017,Swanson School of Engineering,02:30 PM,03:45 PM,Tu Th             ,BENDM,00G37,11
Civil & Environmental Engineer,1720,25591,URBAN TRANSPORTATION PLANNING,1095,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:30 PM,08:00 PM,Th                ,BENDM,00312,7
Civil & Environmental Engineer,1730,20400,HIGHWAY ENGINEERING,1110,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:30 PM,08:00 PM,W                 ,BENDM,00G27,7
Civil & Environmental Engineer,1733,16336,TRANSPORTATION DESIGN PROJECT,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,01:50 PM,Tu Th             ,BENDM,00319,3
Civil & Environmental Engineer,1733,16337,TRANSPORTATION DESIGN PROJECT,1040,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,03:50 PM,Tu Th             ,BENDM,00319,3
Civil & Environmental Engineer,1809,24460,HYDRAULIC FRACTURING MECHANICS,1180,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:00 PM,07:35 PM,W                 ,BENDM,00309,8
Civil & Environmental Engineer,1811,13468,PRINCIPLES OF SOIL MECHANICS,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,12:15 PM,M W               ,BENDM,00319,33
Civil & Environmental Engineer,1811,13469,PRINCIPLES OF SOIL MECHANICS,1020,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,12:30 PM,02:25 PM,Th                ,BENDM,0SB26,20
Civil & Environmental Engineer,1811,13470,PRINCIPLES OF SOIL MECHANICS,1030,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,05:55 PM,Th                ,BENDM,0SB90,13
Civil & Environmental Engineer,1821,13217,FOUNDATION ENGINEERING,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,10:50 AM,M W F             ,BENDM,00G27,45
Civil & Environmental Engineer,1833,13206,GEOTECHNICAL DESIGN PROJECT,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,01:50 PM,Tu Th             ,BENDM,00319,8
Civil & Environmental Engineer,1833,13207,GEOTECHNICAL DESIGN PROJECT,1040,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,03:50 PM,Tu Th             ,BENDM,00319,8
Civil & Environmental Engineer,1996,13147,SPECIAL PROJECTS,1010,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,1996,13513,SPECIAL PROJECTS,1020,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,1996,13514,SPECIAL PROJECTS,1030,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,1996,13515,SPECIAL PROJECTS,1040,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,1996,13516,SPECIAL PROJECTS,1050,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,1996,13517,SPECIAL PROJECTS,1060,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,1996,13518,SPECIAL PROJECTS,1070,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,1996,13519,SPECIAL PROJECTS,1080,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,1996,13520,SPECIAL PROJECTS,1090,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,1996,13521,SPECIAL PROJECTS,1100,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,1996,13522,SPECIAL PROJECTS,1110,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,1996,13523,SPECIAL PROJECTS,1120,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2085,13601,GRADUATE DEPARTMENTAL SEMINAR,1070,Seminar,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:55 PM,F                 ,BENDM,00319,39
Civil & Environmental Engineer,2201,19239,CONSTRUCTION COST ENGINEERING,1040,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:30 PM,08:00 PM,Th                ,BENDM,00G24,19
Civil & Environmental Engineer,2203,29586,CONSTRCT METHODS AND EQUIPMENT,1105,Lecture,Spring Term 2016-2017,Swanson School of Engineering,06:00 PM,08:30 PM,W                 ,BENDM,00G24,9
Civil & Environmental Engineer,2204,13230,CONSTRUCTION LAW & RISK MGMNT,1060,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:30 PM,08:00 PM,Tu                ,BENDM,00312,6
Civil & Environmental Engineer,2230,20435,BUILDING INFORMATION MODELING,1050,Lecture,Spring Term 2016-2017,Swanson School of Engineering,06:00 PM,08:30 PM,M                 ,BENDM,00319,18
Civil & Environmental Engineer,2321,25590,"ELASY, PLSTCTY FRAC MECHCS",1095,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,02:30 PM,F                 ,BENDM,00227,8
Civil & Environmental Engineer,2401,19629,OPEN CHANNEL HYDRAULICS,1070,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,05:15 PM,Tu Th             ,BENDM,00G28,5
Civil & Environmental Engineer,2612,27297,DESIGN & ANAL OF EXPERIMENTS,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,02:30 PM,03:45 PM,M W               ,BENDM,00319,12
Civil & Environmental Engineer,2715,26272,PAVEMENT MAINTENANCE AND REHAB,1090,Lecture,Spring Term 2016-2017,Swanson School of Engineering,02:30 PM,03:45 PM,Tu Th             ,BENDM,00G37,1
Civil & Environmental Engineer,2720,25592,URBAN TRANSPORTATION PLANNING,1095,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:30 PM,08:00 PM,Th                ,BENDM,00312,7
Civil & Environmental Engineer,2730,20344,HIGHWAY ENGINEERING,1110,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:30 PM,08:00 PM,W                 ,BENDM,00G27,7
Civil & Environmental Engineer,2802,29589,GEOTECHNICAL ANALYSIS,1095,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:30 PM,08:00 PM,M                 ,BENDM,00G30,13
Civil & Environmental Engineer,2809,24461,HYDRAULIC FRACTURING MECHANICS,1180,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:00 PM,07:35 PM,W                 ,BENDM,00309,2
Civil & Environmental Engineer,2996,13152,SPEC INVSTGTN FOR M.S. STUDNTS,1010,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,2
Civil & Environmental Engineer,2996,13524,SPEC INVSTGTN FOR M.S. STUDNTS,1020,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2996,13525,SPEC INVSTGTN FOR M.S. STUDNTS,1030,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2996,13526,SPEC INVSTGTN FOR M.S. STUDNTS,1040,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,2996,13527,SPEC INVSTGTN FOR M.S. STUDNTS,1050,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2996,13528,SPEC INVSTGTN FOR M.S. STUDNTS,1060,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2996,13529,SPEC INVSTGTN FOR M.S. STUDNTS,1070,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2996,13530,SPEC INVSTGTN FOR M.S. STUDNTS,1080,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2996,13531,SPEC INVSTGTN FOR M.S. STUDNTS,1090,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2996,13532,SPEC INVSTGTN FOR M.S. STUDNTS,1100,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2996,13533,SPEC INVSTGTN FOR M.S. STUDNTS,1110,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2996,13534,SPEC INVSTGTN FOR M.S. STUDNTS,1120,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2999,13153,M.S. THESIS,1010,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,2999,13535,M.S. THESIS,1020,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2999,13536,M.S. THESIS,1030,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,2999,13537,M.S. THESIS,1040,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2999,13538,M.S. THESIS,1050,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2999,13539,M.S. THESIS,1060,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2999,13540,M.S. THESIS,1070,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2999,13541,M.S. THESIS,1080,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,2999,13542,M.S. THESIS,1090,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2999,13543,M.S. THESIS,1100,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,2999,13544,M.S. THESIS,1110,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,2
Civil & Environmental Engineer,2999,13545,M.S. THESIS,1120,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3501,13156,ENVRNMTL ENGRG PROCESSES 1,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:30 PM,08:00 PM,W                 ,BENDM,00319,16
Civil & Environmental Engineer,3502,13158,ENVRNMTL ENGRG PROCESSES 2,1060,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:30 PM,08:00 PM,Tu                ,BENDM,00319,13
Civil & Environmental Engineer,3805,24180,ROCK MECHANICS,1380,Lecture,Spring Term 2016-2017,Swanson School of Engineering,05:30 PM,08:00 PM,Th                ,BENDM,00G31,7
Civil & Environmental Engineer,3996,13159,SPEC INVSTGTN FOR PH.D. STDNT,1010,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3996,13546,SPEC INVSTGTN FOR PH.D. STDNT,1020,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3996,13547,SPEC INVSTGTN FOR PH.D. STDNT,1030,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3996,13548,SPEC INVSTGTN FOR PH.D. STDNT,1040,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3996,13549,SPEC INVSTGTN FOR PH.D. STDNT,1050,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3996,13550,SPEC INVSTGTN FOR PH.D. STDNT,1060,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3996,13551,SPEC INVSTGTN FOR PH.D. STDNT,1070,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3996,13552,SPEC INVSTGTN FOR PH.D. STDNT,1080,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3996,13553,SPEC INVSTGTN FOR PH.D. STDNT,1090,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,2
Civil & Environmental Engineer,3996,13554,SPEC INVSTGTN FOR PH.D. STDNT,1100,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3996,13555,SPEC INVSTGTN FOR PH.D. STDNT,1110,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3997,13161,"RESEARCH, PH.D",1010,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3997,13557,"RESEARCH, PH.D",1020,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3997,13558,"RESEARCH, PH.D",1030,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,2
Civil & Environmental Engineer,3997,13559,"RESEARCH, PH.D",1040,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,5
Civil & Environmental Engineer,3997,13560,"RESEARCH, PH.D",1050,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3997,13561,"RESEARCH, PH.D",1060,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3997,13562,"RESEARCH, PH.D",1070,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3997,13563,"RESEARCH, PH.D",1080,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3997,13564,"RESEARCH, PH.D",1090,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3997,13565,"RESEARCH, PH.D",1100,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3997,13566,"RESEARCH, PH.D",1110,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3997,13567,"RESEARCH, PH.D",1120,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,2
Civil & Environmental Engineer,3999,13162,PH.D. DISSERTATION,1010,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3999,13568,PH.D. DISSERTATION,1020,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3999,13569,PH.D. DISSERTATION,1030,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3999,13570,PH.D. DISSERTATION,1040,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,2
Civil & Environmental Engineer,3999,13571,PH.D. DISSERTATION,1050,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3999,13572,PH.D. DISSERTATION,1060,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3999,13573,PH.D. DISSERTATION,1070,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3999,13574,PH.D. DISSERTATION,1080,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3999,13575,PH.D. DISSERTATION,1090,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3999,13576,PH.D. DISSERTATION,1100,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Civil & Environmental Engineer,3999,13577,PH.D. DISSERTATION,1110,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,1
Civil & Environmental Engineer,3999,13578,PH.D. DISSERTATION,1120,Thesis Research,Spring Term 2016-2017,Swanson School of Engineering,12:00 AM,12:00 AM,By Appt           ,BENDM,00949,0
Clinical Research,2156,30239,MEDICAL PRODUCT DEVELOPMENT,1060,Lecture,Spring Term 2016-2017,School of Medicine,06:00 PM,09:00 PM,Tu                ,BENDM,00320,1
Computer Engineering,0031,13286,LINEAR CIRCUITS AND SYSTEMS 1,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:30 PM,05:45 PM,M W               ,BENDM,00227,20
Computer Engineering,0031,13395,LINEAR CIRCUITS AND SYSTEMS 1,1015,Recitation,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,01:50 PM,W                 ,BENDM,00227,20
Computer Engineering,0132,13284,DIGITAL LOGIC,1040,Lecture,Spring Term 2016-2017,Swanson School of Engineering,09:30 AM,10:45 AM,Tu Th             ,BENDM,00G37,14
Computer Engineering,0132,13397,DIGITAL LOGIC,1050,Recitation,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,11:50 AM,Th                ,BENDM,00G27,14
Computer Engineering,0147,20003,COMPUTR ORGZTN & ASSMBLY LANG,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,02:15 PM,Tu Th             ,BENDM,00226,57
Computer Engineering,0147,20058,COMPUTR ORGZTN & ASSMBLY LANG,1040,Recitation,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,11:50 AM,F                 ,BENDM,00226,57
Computer Engineering,0257,26982,ANAL & DSGN OF ELECTNC CRCTS,1100,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,12:15 PM,Tu Th             ,BENDM,00G31,32
Computer Engineering,0257,27266,ANAL & DSGN OF ELECTNC CRCTS,1200,Lecture,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,M W               ,BENDM,00G30,29
Computer Engineering,0401,13287,INTRMEDT PROGRMMING USING JAVA,1115,Lecture,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,M W               ,BENDM,00G29,3
Computer Engineering,0401,13289,INTRMEDT PROGRMMING USING JAVA,1140,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,02:15 PM,Tu Th             ,BENDM,00G31,5
Computer Engineering,0401,30174,INTRMEDT PROGRMMING USING JAVA,1500,Lecture,Spring Term 2016-2017,Swanson School of Engineering,09:30 AM,10:45 AM,Tu Th             ,BENDM,00G30,1
Computer Engineering,0445,20483,DATA STRUCTURES,1300,Lecture,Spring Term 2016-2017,Swanson School of Engineering,09:30 AM,10:45 AM,Tu Th             ,BENDM,00G29,23
Computer Engineering,0449,24926,INTRO TO SYSTEMS SOFTWARE,1200,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,05:15 PM,Tu Th             ,BENDM,00G29,7
Computer Engineering,0501,13236,DIGITAL SYSTEMS LABORATORY,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,By Appt           ,BENDM,01223C,50
Computer Engineering,0501,13236,DIGITAL SYSTEMS LABORATORY,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,M W               ,BENDM,01223A,50
Computer Engineering,0501,13236,DIGITAL SYSTEMS LABORATORY,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:00 AM,11:50 AM,M W               ,BENDM,01223B,50
Computer Engineering,1186,13316,SOFTWARE ENGINEERING,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,06:00 PM,09:00 PM,Th                ,BENDM,00G29,26
Computer Engineering,1186,13317,SOFTWARE ENGINEERING,1015,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:50 PM,F                 ,BENDM,01223C,26
Computer Engineering,1186,13317,SOFTWARE ENGINEERING,1015,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:50 PM,F                 ,BENDM,01223B,26
Computer Engineering,1188,29600,CYBER-PHYSICAL SYSTEMS,1041,Lecture,Spring Term 2016-2017,Swanson School of Engineering,02:30 PM,03:45 PM,Tu Th             ,BENDM,01223A,28
Computer Engineering,1501,30194,ALGORITHM IMPLEMENTATION,1240,Lecture,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,M W               ,BENDM,00158,11
Computer Engineering,1502,13304,ADV DIGITAL DESIGN CONCEPTS,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,05:50 PM,Tu Th             ,BENDM,01223C,49
Computer Engineering,1502,13304,ADV DIGITAL DESIGN CONCEPTS,1010,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,05:50 PM,Tu Th             ,BENDM,01223B,49
Computer Engineering,1541,31070,INTRO TO COMPUTER ARCHITECTURE,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:30 PM,05:45 PM,M W               ,BENDM,01211B,32
Computer Engineering,1541,31070,INTRO TO COMPUTER ARCHITECTURE,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:30 PM,05:45 PM,M W               ,BENDM,01211A,32
Computer Engineering,1885,13283,DEPARTMENTAL SEMINAR,1010,Seminar,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,M                 ,BENDM,00157,193
Computer Engineering,1896,13305,SENIOR DESIGN PROJECT,1010,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,02:50 PM,W                 ,BENDM,00G26,26
Computer Science,0401,10735,INTRMEDT PROGRMMING USING JAVA,1140,Lecture,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,01:00 PM,02:15 PM,Tu Th             ,BENDM,00G31,69
Computer Science,0401,10964,INTRMEDT PROGRMMING USING JAVA,1115,Lecture,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,03:00 PM,04:15 PM,M W               ,BENDM,00G29,68
Computer Science,0401,30180,INTRMEDT PROGRMMING USING JAVA,1500,Lecture,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,09:30 AM,10:45 AM,Tu Th             ,BENDM,00G30,65
Computer Science,0445,20482,DATA STRUCTURES,1300,Lecture,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,09:30 AM,10:45 AM,Tu Th             ,BENDM,00G29,52
Computer Science,0449,24925,INTRO TO SYSTEMS SOFTWARE,1200,Lecture,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,04:00 PM,05:15 PM,Tu Th             ,BENDM,00G29,46
